gebratlie,"RT @MPSGreenhill: Pickpockets are still operating in Harrow Town Centre stores.

Keep your valuables safe, close and zipped up. Be vigilant…","Pickpockets are still operating in Harrow Town Centre stores.

Keep your valuables safe, close and zipped up. Be vigilant at ATMs and keep cash withdrawals in secure pockets. NEVER leave bags on pushchairs or trolleys. Please advise elderly friends and relatives to do the same! https://t.co/hBxpwHFmHu",Fri Aug 17 09:43:17 +0000 2018
MPSGreenhill,"Pickpockets are still operating in Harrow Town Centre stores.

Keep your valuables safe, close and zipped up. Be vigilant at ATMs and keep cash withdrawals in secure pockets. NEVER leave bags on pushchairs or trolleys. Please advise elderly friends and relatives to do the same! https://t.co/hBxpwHFmHu",,Thu Aug 16 11:56:45 +0000 2018
