ted_d_bear76,I added a video to a @YouTube playlist https://t.co/rOJoRDuMMw Sleeping Volcano Awakens,,Sun Aug 19 02:33:59 +0000 2018
SSLYblog,"Stealing Hope The apocalypse has come and gone. Those who survived learned to adapt. Dragons awaken to once again reign over the skies. Upon eruption of a volcano, Ari awakens to a changed world, and a knowing that... https://t.co/bNGs1mZFAF",,Fri Aug 17 10:01:08 +0000 2018
eyeinthemiddle,"Mount Lokon: A volcanic and elemental force awakens in Tomohon
https://t.co/vla0YlSYke
#sulawesi #tomohon #lokon #eyeinthemiddle #indonesia #volcano #travel #blog @travelsulawesi",,Thu Aug 16 20:55:41 +0000 2018
