sugakookie5ever,"RT @BTS_twt: 불타오르네!!! #마술 #FIRE #불타오르네 
#호비사진첩 https://t.co/oobQSnnEgD","불타오르네!!! #마술 #FIRE #불타오르네 
#호비사진첩 https://t.co/oobQSnnEgD",Wed Aug 22 08:22:27 +0000 2018
firstpost,#InPics: #firefighters carry out cooling operation on the 12th floor inside #CrystalTower which caught #fire today morning. The fire claimed 4 lives. #MumbaiFire #Parel Follow #LIVE updates here: https://t.co/MIwEBbpgPI https://t.co/SPwLx64SIB,,Wed Aug 22 08:10:52 +0000 2018
6CXy1D5fcOB6mRD,"RT @Frankpeters430: NEW SINGLE by Frankie Baby and YVA – GOD &amp; MONEY #Godandmoney, #Frankiebaby, #YVA, #Waaaavy, #NewNEW, #FIRE, #Hollywood…","NEW SINGLE by Frankie Baby and YVA – GOD &amp; MONEY #Godandmoney, #Frankiebaby, #YVA, #Waaaavy, #NewNEW, #FIRE, #HollywoodRow, #Music, #FPM, #Lit🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/cdddNjBlwm",Wed Aug 22 08:10:32 +0000 2018
itssawbe,"RT @itssawbe: Please vote with this link 👇

https://t.co/Ej4RSsejro

Beat by: @KatoProducer 

#upandcomingartist #new #hiphop #music #newmu…","Please vote with this link 👇

https://t.co/Ej4RSsejro

Beat by: @KatoProducer 

#upandcomingartist #new #hiphop #music #newmusic #oldschool #undergroundhiphop #nineties #indiemusic #xxxtentacion #rap #newrap #flow #bars #newtalent #producers #freshmusic #fire #indigenousart https://t.co/QHsFA3MsvL",Wed Aug 22 08:10:08 +0000 2018
lizabet59288101,"RT @Frankpeters430: NEW SINGLE by Frankie Baby and YVA – GOD &amp; MONEY #Godandmoney, #Frankiebaby, #YVA, #Waaaavy, #NewNEW, #FIRE, #Hollywood…","NEW SINGLE by Frankie Baby and YVA – GOD &amp; MONEY #Godandmoney, #Frankiebaby, #YVA, #Waaaavy, #NewNEW, #FIRE, #HollywoodRow, #Music, #FPM, #Lit🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/cdddNjBlwm",Wed Aug 22 08:06:54 +0000 2018
YourCampingTrip,"Oh Yeah

#fire #campfire https://t.co/6IUthwcvKQ",,Wed Aug 22 08:06:39 +0000 2018
tandranewell1,"RT @Frankpeters430: NEW SINGLE by Frankie Baby and YVA – GOD &amp; MONEY #Godandmoney, #Frankiebaby, #YVA, #Waaaavy, #NewNEW, #FIRE, #Hollywood…","NEW SINGLE by Frankie Baby and YVA – GOD &amp; MONEY #Godandmoney, #Frankiebaby, #YVA, #Waaaavy, #NewNEW, #FIRE, #HollywoodRow, #Music, #FPM, #Lit🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/cdddNjBlwm",Wed Aug 22 08:06:07 +0000 2018
frantastic_fran,I could sit in front of the #fire &amp; watch the flames for hours 🔥 #CheapEntertainment,,Wed Aug 22 08:05:32 +0000 2018
Viral__Funding,♥️ RETWEET SHARE SUPPORT! @camhann81 Helping Us To Rebuild #Rebuild #Fire @ViralExpNotify #Gofundme #CrowdFundingExposure #Viral__Funding PLEASE SUPPORT ~&gt; https://t.co/DBW272HG6e https://t.co/rLlbfZLxJf,,Wed Aug 22 08:05:04 +0000 2018
balveerinsa,"RT @SACHKAHOON: मुंबई: परेल में 18 मंजिला इमारत में लगी आग, दम घुटने से 4 लोगों की मौत 
#DIED #A #FIRE #BUILDING #IN #18TH #FLOOR #IN #PARE…","मुंबई: परेल में 18 मंजिला इमारत में लगी आग, दम घुटने से 4 लोगों की मौत 
#DIED #A #FIRE #BUILDING #IN #18TH #FLOOR #IN #PAREL #MUMBAI #FOUR #PEOPLE #SUFFOCATED #TOPNEWS
- https://t.co/iNuGlBZ8Sm",Wed Aug 22 08:04:24 +0000 2018
thuy_bonfiglio,"RT @Frankpeters430: NEW SINGLE by Frankie Baby and YVA – GOD &amp; MONEY #Godandmoney, #Frankiebaby, #YVA, #Waaaavy, #NewNEW, #FIRE, #Hollywood…","NEW SINGLE by Frankie Baby and YVA – GOD &amp; MONEY #Godandmoney, #Frankiebaby, #YVA, #Waaaavy, #NewNEW, #FIRE, #HollywoodRow, #Music, #FPM, #Lit🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥 https://t.co/cdddNjBlwm",Wed Aug 22 08:04:07 +0000 2018
FirefighterKiwi,"Electric blanket #fire #safety advice.
Don't forget to get it checked once a year. https://t.co/jOMQLeJXuB",,Wed Aug 22 08:04:06 +0000 2018
Karl220717,"@PostMalone glad your plane landed safely dude, rock on and keep making dope music, your the man post! #fire #posty #legend",,Wed Aug 22 08:03:27 +0000 2018
OneindiaBengali,"দিল্লিতে ইদের সকালে ভয়াবহ আগুন, চাঞ্চল্য এলাকায়
#Delhi #FIRE https://t.co/RbLg03fGfS",,Wed Aug 22 08:03:05 +0000 2018
